Código	Diretoria Regional	Municipio	DESIGNAÇÃO		Endereço	Nº	Complemento	Bairro  	CEP
33026408	BAIXADAS LITORANEAS	ARARUAMA	CIEP	148 PROFESSOR CARLOS ELIO VOGAS DA SILVA	RUA OSCAR CLARK	SNº		PARQUE MATARUNA	28970000
33026386	BAIXADAS LITORANEAS	ARARUAMA	CIEP	253 GUIMARAES ROSA	RUA PROTOGENES GUIMARAES	426		PRACA DA BANDEIRA	28970000
33026874	BAIXADAS LITORANEAS	ARARUAMA	CIEP	384 GONCALVES DIAS	RODOVIA RJ 138 ESTRADA SAO VICENTE	138		SAO VICENTE DE PAULO	28980000
33026394	BAIXADAS LITORANEAS	ARARUAMA	CIEP	460 THIOPHYLA BRAGANCA	RUA MARQUES DE PARANA	SNº	PARQUE DE EXPOSICOES	CLUB DOS ENGENHEIROS	28970000
33026734	BAIXADAS LITORANEAS	ARARUAMA	CE	ANTONIO PINTO DE MORAES	RODOVIA RJ 124 KM 25	SNº		AURORA	28970000
33026432	BAIXADAS LITORANEAS	ARARUAMA	CE	EDMUNDO SILVA	RUA BERNARDO VASCONCELLOS	425		CENTRO	28970000
33026726	BAIXADAS LITORANEAS	ARARUAMA	CE	PROFESSOR FONSECA	ESTRADA DO MORRO GRANDE	SNº		MORRO GRANDE	
33026440	BAIXADAS LITORANEAS	ARARUAMA	CE	PROFESSORA CLARICE COELHO MOREIRA CALDAS	RUA PREFEITO ANTONIO RAPOSO	SNº		PONTE DOS LEITES	28970000
33027820	BAIXADAS LITORANEAS	ARMACAO DOS BUZIOS	CE	JOAO DE OLIVEIRA BOTAS	AVENIDA JOSE BENTO RIBEIRO DANTAS	1084		CENTRO	28950000
33027137	BAIXADAS LITORANEAS	ARRAIAL DO CABO	CE	ALMIRANTE FREDERICO VILLAR	PRACA DA BANDEIRA	13	PRAIA DOS ANJOS	CENTRO	28930000
33027102	BAIXADAS LITORANEAS	ARRAIAL DO CABO	CE	VINTE DE JULHO	RUA SEIS	SNº		VILA INDUSTRIAL	28930000
33027293	BAIXADAS LITORANEAS	CABO FRIO	CIEP	150 PROFESSORA AMELIA FERREIRA DOS SANTOS GABINA	AVENIDA LUIZ DE CAMOES	SNº		CELULA MATER	28909370
33027307	BAIXADAS LITORANEAS	CABO FRIO	CIEP	193 WILSON MENDES	RUA SAMUEL BESSA	SNº		JACARE	28922136
33093709	BAIXADAS LITORANEAS	CABO FRIO	CIEP	331 LYSIA BERNARDES	RUA PORTO ALEGRE	SNº		AQUARIUS	28926971
33093687	BAIXADAS LITORANEAS	CABO FRIO	CIEP	357 JOSE DE DOME	RUA SANTA MARGARIDA	SNº		TANGARA	28921100
33027285	BAIXADAS LITORANEAS	CABO FRIO	CIEP	458 HERMES BARCELOS	ESTRADA VELHA DE BUZIOS	SNº		JARDIM ESPERANCA	28922270
