CENSO;Regional;Munic¡pio;Nome;email
33026386;BAIXADAS LITORANEAS;ARARUAMA;CIEP 253 GUIMARAES ROSA;ciep253guimaraesrosa@educacao.rj.gov.br
33026394;BAIXADAS LITORANEAS;ARARUAMA;CIEP 460 THIOPHYLA BRAGANCA;ciep460@educacao.rj.gov.br
33026408;BAIXADAS LITORANEAS;ARARUAMA;CIEP 148 PROFESSOR CARLOS ELIO VOGAS DA SILVA;ciep148@educacao.rj.gov.br
33026432;BAIXADAS LITORANEAS;ARARUAMA;CE EDMUNDO SILVA;ceedmundosilva@educacao.rj.gov.br
33026440;BAIXADAS LITORANEAS;ARARUAMA;CE PROFESSORA CLARICE COELHO MOREIRA CALDAS;ceprofessoracoelhomoreiracaldas@educacao.rj.gov.br
33026726;BAIXADAS LITORANEAS;ARARUAMA;CE PROFESSOR FONSECA;ceprofessorfonseca@educacao.rj.gov.br
33026734;BAIXADAS LITORANEAS;ARARUAMA;CE ANTONIO PINTO DE MORAES;ceantoniopintomoraes@educacao.rj.gov.br
33026874;BAIXADAS LITORANEAS;ARARUAMA;CIEP 384 GONCALVES DIAS;ciep384@educacao.rj.gov.br
33027102;BAIXADAS LITORANEAS;ARRAIAL DO CABO;CE VINTE DE JULHO;cevintedejulho@educacao.rj.gov.br
33027137;BAIXADAS LITORANEAS;ARRAIAL DO CABO;CE ALMIRANTE FREDERICO VILLAR;cealmirantefredericovillar@educacao.rj.gov.br
33027285;BAIXADAS LITORANEAS;CABO FRIO;CIEP 458 HERMES BARCELOS;ciep458@educacao.rj.gov.br
33027293;BAIXADAS LITORANEAS;CABO FRIO;CIEP 150 PROFESSORA AMELIA FERREIRA DOS SANTOS GABINA;ciepbrizolao150@educacao.rj.gov.br
33027307;BAIXADAS LITORANEAS;CABO FRIO;CIEP 193 WILSON MENDES;ciep193@educacao.rj.gov.br
33027315;BAIXADAS LITORANEAS;CABO FRIO;CE PROFESSOR RENATO AZEVEDO;ceprofrenatoazevedo@educacao.rj.gov.br
33027323;BAIXADAS LITORANEAS;CABO FRIO;CE MIGUEL COUTO;cemiguelcouto@educacao.rj.gov.br
33027420;BAIXADAS LITORANEAS;CABO FRIO;EE ASPINO ROCHA;eeaspinorocha@educacao.rj.gov.br
33027439;BAIXADAS LITORANEAS;CABO FRIO;CE PRAIA DO SIQUEIRA;ceppsiqueira@educacao.rj.gov.br
33027447;BAIXADAS LITORANEAS;CABO FRIO;CE PROFESSOR CORDELINO TEIXEIRA PAULO;ceprofcordelinoteixeirapaulo@educacao.rj.gov.br
33027455;BAIXADAS LITORANEAS;CABO FRIO;IE PROFESSORA ISMAR GOMES DE AZEVEDO;ieprofismargazevedo@educacao.rj.gov.br
33027820;BAIXADAS LITORANEAS;ARMACAO DOS BUZIOS;CE JOAO DE OLIVEIRA BOTAS;cejoaobotas@educacao.rj.gov.br
33028087;BAIXADAS LITORANEAS;SAO PEDRO DA ALDEIA;CIEP 262 CURVELINA DIAS CURVELLO;ciep262@educacao.rj.gov.br
33028095;BAIXADAS LITORANEAS;SAO PEDRO DA ALDEIA;CIEP 272 GABRIEL JOAQUIM DOS SANTOS;ciep272@educacao.rj.gov.br
33028109;BAIXADAS LITORANEAS;SAO PEDRO DA ALDEIA;CIEP 146 PROFESSOR CORDELINO TEIXEIRA PAULO;ciep146@educacao.rj.gov.br
33028125;BAIXADAS LITORANEAS;SAO PEDRO DA ALDEIA;CE ALMIRANTE TAMANDARE;cealmirantetamandare_rj@educacao.rj.gov.br
33028133;BAIXADAS LITORANEAS;SAO PEDRO DA ALDEIA;CE DOUTOR FELICIANO SODRE;cedrfelicianosodre@educacao.rj.gov.br
33028192;BAIXADAS LITORANEAS;SAO PEDRO DA ALDEIA;CE JOSE RASCAO;cejoserascao@educacao.rj.gov.br
33028214;BAIXADAS LITORANEAS;SAO PEDRO DA ALDEIA;CE VITAL BRASIL;cevitalbrasil@educacao.rj.gov.br
33028540;BAIXADAS LITORANEAS;SAO PEDRO DA ALDEIA;CE NOBU YAMAGATA;cenobuyamagata@educacao.rj.gov.br
33028583;BAIXADAS LITORANEAS;IGUABA GRANDE;CIEP 457 DOUTOR JOSE ELIAS MELLO DOS SANTOS;ciep457@educacao.rj.gov.br
33028605;BAIXADAS LITORANEAS;IGUABA GRANDE;CE DOUTOR FRANCISCO DE PAULA PARANHOS;cedoutorfranciscodepaulaparanhos@educacao.rj.gov.br
33028702;BAIXADAS LITORANEAS;SAQUAREMA;CIEP 372 PAULO LEMINSKY;ciep372@educacao.rj.gov.br
33028729;BAIXADAS LITORANEAS;SAQUAREMA;CE OSCAR DE MACEDO SOARES;ceoscardemacedosoares@educacao.rj.gov.br
33028958;BAIXADAS LITORANEAS;SAQUAREMA;CE OLIVEIRA VIANA;ceoliveiraviana@educacao.rj.gov.br
33028974;BAIXADAS LITORANEAS;SAQUAREMA;CE RIO DE AREIA;ceriodeareia@educacao.rj.gov.br
