id;name;censo;ua;address;phone;city;city_id;regional;created_at;updated_at;email;number;complement;neighborhood;zip_code;designation;latitude;longitude
167;CE JOSE MARIA DE BRITO;33045062;;AVENIDA DEPUTADO OCTAVIO CABRAL;;ITAGUAI;3619;CENTRO SUL;2016-05-12 00:20:19;2016-05-12 20:18:01;cejosemariadebrito@educacao.rj.gov.br;668;;CENTRO;23820000;CE;-22.858189;-43.7884535
143;CE JOAO KOPKE;33038040;;PRACA ROGER MALHARDES;;ENGENHEIRO PAULO DE FRONTIN;3615;CENTRO SUL;2016-05-12 00:20:18;2016-05-12 20:17:46;cejkopke@educacao.rj.gov.br;07;;CENTRO;26650000;CE;-22.5163794;-43.6567219
209;CE MARECHAL SOUZA DANTAS;33031428;;PRACA MARECHAL JOSE PESSOA;;RESENDE;2087;MEDIO PARAÍBA;2016-05-12 00:20:19;2016-05-12 20:18:04;cemalsouzadantas@educacao.rj.gov.br;20;;CENTRO;27511380;CE;-22.4674937;-44.4484071
448;CIEP 423 MORA GUIMARAES;33103917;;RUA DUCLEIA SILVA PORTO;;SAO GONCALO;638;METROPOLITANA II ;2016-05-12 00:20:25;2016-05-12 20:18:06;ciepbrizolao423@educacao.rj.gov.br;2026;;SACRAMENTO;24734315;CIEP;-22.8326495;-42.9642044
497;CE CHARLES CHAPLIN;33075174;;PRACA CANDIDO PORTINARI (RUA DOM QUIXOTE);;RIO DE JANEIRO;3657;METROPOLITANA III;2016-05-12 00:20:26;2016-05-12 20:18:07;cecharleschaplin@educacao.rj.gov.br;SNº;;OSWALDO CRUZ;21341120;CE;-22.8790529;-43.3528119
809;CE COMPOSITOR LUIZ GONZAGA;33126232;;RUA ESCRITOR UBALDO SOARES FILHO;;RIO DE JANEIRO;3657;METROPOLITANA VI;2016-05-12 00:20:33;2016-05-12 20:18:09;cecompositorluizgonzaga@educacao.rj.gov.br;128;JACAREPAGUA;FREGUESIA;22763060;CE;-22.9493151;-43.3503529
924;CE EUCLIDES FELICIANO TARDIN;33000158;;RUA JOSE ALBERONI;;BOM JESUS DO ITABAPOANA;3600;NOROESTE FLUMINENSE;2016-05-12 00:20:36;2016-05-12 20:18:11;ceeuclidesfelicianotardin@educacao.rj.gov.br;115;;CENTRO;28360000;CE;-21.1330059;-41.7407394
66;EE BENJAMIN CONSTANT;33056340;;TV. CAP. MARIO TINOCO;;NITEROI;3637;BAIXADAS LITORANEAS;2016-05-12 00:20:16;2016-05-13 02:36:38;eebenjaminconstant@educacao.rj.gov.br;;;BARRETO;24110215;EE;-22.8601637;-43.1037681
117;CIEP 287 ANGELINA TEIXEIRA NETTO SYM;33034273;;RUA JOSE ALVES PIMENTA;;BARRA DO PIRAI;3596;CENTRO SUL;2016-05-12 00:20:17;2016-05-12 04:36:20;ciep287@educacao.rj.gov.br;1250;;MATADOURO;27115010;CIEP;-22.4571698;-43.8173382
782;CE EUNICE WEAVER;33077169;;RUA TRIBUNA;;RIO DE JANEIRO;3657;METROPOLITANA VI;2016-05-12 00:20:33;2016-05-12 04:36:27;ceeuniceweaver@educacao.rj.gov.br;47;JACAREPAGUA;TAQUARA;22715120;CE;-22.9245488;-43.3842906
